Well_Name,Program,Expedition,Site,Hole,Oceanic_Region,Longitude,Latitude,Spud_Date,Completion_Date,Water_Depth_(m),Number_of_Cores,Total_Penetration_(mbsf),Interval_Cored_(m),Core_Recovered_(m),%_Recovered,Reported_Age_of_Oldest_Sediment_Recovered,Oldest_Sediment_Lithology,Oldest_Sediment_Subbottom_Depth,EGI_Synthesized,Well_Logging,Data_Source,depth_age_model_page_from_data_source,Lithology,Paleowater_depth,Depth_Age_model,fossil_zones
DSDP 1-1,DSDP,1,1,*,Gulf of Mexico,-92.1833,25.8583,"Aug 12, 1968","Aug 16, 1968",2827,10,770.5,77.2,58.7,76.03626943,Pleistocene,brownish-gray silicate clays with silt and sand,N/A,,YES,http://www.deepseadrilling.org/01/volume/dsdp01_01.pdf,,1,0,0,0
DSDP 1-2,DSDP,1,2,*,Gulf of Mexico,-92.0587,23.0455,"Aug 19, 1968","Aug 21, 1968",3572,5,143.9,26.5,12.1,45.66037736,Pleistocene,clays,N/A,,NO,http://www.deepseadrilling.org/01/volume/dsdp01_02.pdf,,1,0,0,0
DSDP 1-3,DSDP,1,3,*,Gulf of Mexico,-92.0433,23.03,"Aug 21, 1968","Aug 23, 1968",3747,11,627.9,99.2,46.6,46.97580645,late Miocene,"silty greenish-gray mudstones with nannoplankton, lignitic sanstones and silts",N/A,,YES,http://www.deepseadrilling.org/01/volume/dsdp01_03.pdf,,1,0,0,0
DSDP 10-85,DSDP,10,85,*,Gulf of Mexico,-91.4228,22.8415,"Feb 22, 1970","Feb 24, 1970",3749,10,212.6,38.6,26.5,68.65284974,late Pleistocene,sand,212.6,,,http://www.deepseadrilling.org/10/volume/dsdp10_02.pdf,,1,0,0,1
DSDP 10-85A,DSDP,10,85,A,Gulf of Mexico,-91.4228,22.8415,"Feb 23, 1970","Feb 25, 1970",3749,4,302,39,0.5,1.28205128,late Pleistocene,dolo sandstone,302,,,http://www.deepseadrilling.org/10/volume/dsdp10_02.pdf,,1,0,0,1
DSDP 10-86,DSDP,10,86,*,Gulf of Mexico,-90.9625,22.8747,"Feb 25, 1970","Feb 26, 1970",1481,25,686.1,102.6,42.6,41.52046784,early Cretaceous,dolomite,686,,,http://www.deepseadrilling.org/10/volume/dsdp10_03.pdf,,1,0,0,1
DSDP 10-87,DSDP,10,87,*,Gulf of Mexico,-92.086,23.015,"Mar 1, 1970","Mar 2, 1970",3761,3,657,9,2.5,27.77777778,middle Miocene,silty sand,700,,,http://www.deepseadrilling.org/10/volume/dsdp10_04.pdf,,1,0,0,0
DSDP 10-90,DSDP,10,90,*,Gulf of Mexico,-94.7682,23.7967,"Mar 9, 1970","Mar 11, 1970",3713,24,768,86.5,57.5,66.47398844,middle Miocene,sand,768,,,http://www.deepseadrilling.org/10/volume/dsdp10_07.pdf,,1,0,0,1
DSDP 10-91,DSDP,10,91,*,Gulf of Mexico,-93.3462,23.7733,"Mar 12, 1970","Mar 15, 1970",3763,35,899.6,208.6,149.99,70.46979866,middle Miocene,silty sand,899.6,,,http://www.deepseadrilling.org/10/volume/dsdp10_08.pdf,,1,0,0,1
DSDP 10-92,DSDP,10,92,*,Gulf of Mexico,-91.8215,25.8448,"Mar 16, 1970","Mar 17, 1970",2573,17,282,74,39.9,53.91891892,early Pleistocene,mudstone,282,,,http://www.deepseadrilling.org/10/volume/dsdp10_09.pdf,,1,0,0,1
DSDP 10-93,DSDP,10,93,*,Gulf of Mexico,-91.4797,22.6208,"Mar 20, 1970","Mar 20, 1970",3090,1,1.5,1.5,1.7,113.3333333,late Pleistocene,clayey nanno-foram ooze,1.5,,,http://www.deepseadrilling.org/10/volume/dsdp10_10.pdf,,1,0,0,1
DSDP 10-94,DSDP,10,94,*,Gulf of Mexico,-88.4693,24.5273,"Mar 22, 1970","Mar 26, 1970",1793,55,660,295.7,175.2,59.24923909,early Cretaceous,limestone,660,,,http://www.deepseadrilling.org/10/volume/dsdp10_11.pdf,,1,0,0,1
DSDP 10-95,DSDP,10,95,*,Gulf of Mexico,-86.3975,24.15,"Mar 27, 1970","Mar 30, 1970",1633,32,463,170,118.1,69.47058824,early Cretaceous,dolomite,463,,,http://www.deepseadrilling.org/10/volume/dsdp10_12.pdf,,1,0,0,1
DSDP 10-96,DSDP,10,96,*,Gulf of Mexico,-85.7633,23.7427,"Mar 30, 1970","Mar 31, 1970",3439,9,332,38,27.6,72.63157895,late Paleocene,foram nanno chalk,332,,,http://www.deepseadrilling.org/10/volume/dsdp10_13.pdf,,1,0,0,1
DSDP 11-107,DSDP,11,107,*,North Atlantic Ocean,-72.4753,38.6598,"May 28, 1970","May 28, 1970",N/A,2,78,3,1.5,50,Pleistocene,silty clay,78,,,http://www.deepseadrilling.org/11/volume/dsdp11_intro.pdf,,0,0,0,0
DSDP 11-108,DSDP,11,108,*,North Atlantic Ocean,-72.6535,38.8045,"May 26, 1970","May 30, 1970",N/A,4,143,36,7.2,20,middle Eocene,siliceous chalk,75,,,http://www.deepseadrilling.org/11/volume/dsdp11_intro.pdf,,0,0,0,0
DSDP 11-98,DSDP,11,98,*,North Atlantic Ocean,-77.3113,25.3825,"Apr 10, 1970","Apr 11, 1970",2769,15,357,122,72.98,59.81967213,Early Campanian to Late Santonian,chalk and limestone,357,,,http://www.deepseadrilling.org/11/volume/dsdp11_intro.pdf,,0,0,0,0
DSDP 12-116,DSDP,12,116,*,North Atlantic Ocean,-15.9243,57.496,N/A,N/A,1151,41,841,248,N/A,73.35080645,Upper Eocene,limestone ooze,841,,,http://www.deepseadrilling.org/12/volume/dsdp12_08.pdf,54,1,0,1,1
DSDP 12-116A,DSDP,12,116,A,North Atlantic Ocean,-15.9243,57.496,N/A,N/A,1151,11,99,99,N/A,82.50505051,Pliocene,ooze,99,,,http://www.deepseadrilling.org/12/volume/dsdp12_08.pdf,54,1,0,1,1
DSDP 13-122,DSDP,13,122,*,Balearic Sea,2.6243,40.4478,"Aug 23, 1970","Aug 24, 1970",2146,10,162.2,32.1,N/A,19.9376947,Upper Miocene,gravel,162,,,http://www.deepseadrilling.org/13/volume/dsdp13pt1_04.pdf,,1,0,0,1
DSDP 13-123,DSDP,13,123,*,Balearic Sea,2.8378,40.6305,"Aug 24, 1970","Aug 25, 1970",2290,15,398.2,62.2,N/A,25.72347267,Lower Pliocene,nanno-ooze,276,,,http://www.deepseadrilling.org/13/volume/dsdp13pt1_05.pdf,,1,0,0,1
DSDP 13-124,DSDP,13,124,*,Mediterranean Sea - Western Basin,4.9948,38.873,"Aug 26, 1970","Aug 29, 1970",2726,22,422.2,72.4,N/A,53.86740331,Upper Miocene,diatomite and anhydrite,418,,,http://www.deepseadrilling.org/13/volume/dsdp13pt1_06.pdf,11,1,0,1,1
