Well Name,Program,Expedition,Site,Hole,Oceanic Region,Longitude,Latitude,Spud Date,Completion Date,Water Depth (m),Number of Cores,Total Penetration (mbsf),Interval Cored (m),Core Recovered (m),% Recovered,Reported Age of Oldest Sediment Recovered,Oldest Sediment Lithology,Oldest Sediment Subbottom Depth,EGI Synthesized,Well Logging,Data Source,depth age model page from data source,Lithology,Paleowater depth,Depth-Age model,fossiol zones,Notes on data source info,Data files filled:,litho,paleodepth,model,location,Paleodepth data quality (1 to 3)***,Depth age model from NSB
DSDP 21-208,DSDP,21,208,*,Coral Sea,161.221,-26.1102,"Dec 23, 1971","Dec 24, 1971",1545,55,594,306,N/A,83.32679739,late Cretaceous,calcic chalk,54,,,http://www.deepseadrilling.org/21/volume/dsdp21_08.pdf,,1,0,0,1,,,1,1,1,1,3,1
DSDP 44-389,DSDP,44,389,*,North Atlantic Ocean,-76.0928,30.1423,"Aug 28, 1975","Aug 29, 1975",2714,1,39.5,9.5,N/A,36.84210526,Holocene/late Quaternary,"sand, shells, and manganese nodules",277,,,http://www.deepseadrilling.org/44/volume/dsdp44_04.pdf,,1,0,0,1,,,1,1,1,1,3,1
DSDP 44-390,DSDP,44,390,*,North Atlantic Ocean,-76.1123,30.1423,"Aug 28, 1975","Aug 29, 1975",2665,10,206,82.5,N/A,32.90909091,Barremian,white limestone,206,,,http://www.deepseadrilling.org/44/volume/dsdp44_04.pdf,36,1,0,1,1,sedimentation plot; thickness of sediment through time,,1,1,1,1,3,1
DSDP 71-511,DSDP,71,511,*,South Atlantic Ocean,-46.9717,-51.0047,"Jan 15, 1980","Jan 21, 1980",2589,70,632,626,N/A,61.41054313,late Jurassic,"Black mudstone and nannofossil mudstone (black shales), rich in organic matter",632,,,http://www.deepseadrilling.org/71/volume/dsdp71pt1_02.pdf,12,1,0,1,1,,,1,1,1,1,3,1
DSDP 77-537,DSDP,77,537,*,Gulf of Mexico,-85.4603,23.9335,"Jan 11, 1981","Jan 13, 1981",3123,19,225,153.5,N/A,16.43648208,Early Cretaceous,Coarse-grained arkose,187.5,,,http://www.deepseadrilling.org/77/volume/dsdp77_04.pdf,,1,0,0,1,,,1,1,1,1,3,1
DSDP 77-538,DSDP,77,538,*,Gulf of Mexico,-85.171,23.8497,"Jan 14, 1981","Jan 14, 1981",2820,1,6,6,N/A,85.83333333,late Oligocene,nannofossil ooze,5.15,,,http://www.deepseadrilling.org/77/volume/dsdp77_05.pdf,,1,0,0,1,,,1,1,1,1,3,1
DSDP 80-548,DSDP,80,548,*,North Atlantic Ocean,-12.164,48.9158,"Jun 9, 1981","Jun 11, 1981",1251,35,211,211,N/A,99.63981043,late Miocene,nannofossil oozes and chalks and silty mudstones,211,,,http://www.deepseadrilling.org/80/volume/dsdp80pt1_03.pdf,19,1,0,1,1,,,1,1,1,1,3,1
DSDP 94-610,DSDP,94,610,*,North Atlantic Ocean,-18.8868,53.2215,"Jul 28, 1983","Jul 31, 1983",2417,29,723,259.2,N/A,68.94675926,late early Miocene,nannofossil chalk,723,,,http://www.deepseadrilling.org/94/volume/dsdp94pt1_06.pdf,24,1,0,1,1,,,1,1,1,1,3,1
DSDP 95-612,DSDP,95,612,*,North Atlantic Ocean,-72.7738,38.8202,"Aug 25, 1983","Aug 31, 1983",1386,72,675.3,674.7,N/A,85.92115014,late Campanian,"Black, glauconitic, foraminiferal, marly shale",675.3,,,http://www.deepseadrilling.org/95/volume/dsdp95_03.pdf,"24, 25, 26, 27",1,0,1,1,,,1,1,1,1,2,1
ODP 113-693,ODP,113,693,A,Southern Ocean,-14.5735,-70.8315,"Jan 30, 1987","Feb 5, 1987",2359,51,483.9,483.9,34.21,44.13721843,Early Cretaceous,claystone,476.2,,,http://www-odp.tamu.edu/publications/113_IR/VOLUME/CHAPTERS/ir113_08.pdf,"44, 48",1,0,1,1,,,1,1,1,1,3,1
