Well_Name,Program,Expedition,Site,Hole,Oceanic_Region,Longitude,Latitude,Spud_Date,Completion_Date,Water_Depth_(m),Number_of_Cores,Total_Penetration_(mbsf),Interval_Cored_(m),Core_Recovered_(m),%_Recovered,Reported_Age_of_Oldest_Sediment_Recovered,Oldest_Sediment_Lithology,Oldest_Sediment_Subbottom_Depth,EGI_Synthesized,Well_Logging,Data_Source,depth_age_model_page_from_data_source,Lithology,Paleowater_depth,Depth-Age_model,fossiol_zones,Notes_on_data_source_info,Data_files_filled:,litho,paleodepth,model,location,Paleodepth_data_quality_(1_to_3)***,Depth_age_model_from_NSB
DSDP 21-206,DSDP,21,206,*,South Pacific Ocean,165.452,-32.0125,"Dec 1, 1971","Dec 3, 1971",3196,48,416,400,N/A,60.8675,Early Miocene,clay nanno ooze,416,,,http://www.deepseadrilling.org/21/volume/dsdp21_06.pdf,,1,0,0,1,,,1,1,,1,3,0
DSDP 21-207,DSDP,21,207,*,Tasman Sea,165.434,-36.9625,"Dec 12, 1971","Dec 14, 1971",1389,6,47,42,N/A,90.47619048,Maastrichtian,silty claystone,309,,,http://www.deepseadrilling.org/21/volume/dsdp21_07.pdf,,1,0,0,1,,,1,1,,1,3,0
DSDP 42-372,DSDP,42,372,*,Mediterranean Sea - Western Basin,4.7965,40.08,"Apr 19, 1975","Apr 24, 1975",2699,62,885,431,N/A,72.89327146,early Miocene,Mudstone,885,,,http://www.deepseadrilling.org/42_1/volume/dsdp42pt1_01.pdf,,1,0,0,1,,,1,1,,1,2,0
DSDP 42-373,DSDP,42,373,*,Tyrrhenian Sea,12.9927,39.728,"Apr 27, 1975","Apr 29, 1975",3517,N/A,N/A,N/A,N/A,N/A,early Pliocene,marl,270,,,http://www.deepseadrilling.org/42_1/volume/dsdp42pt1_01.pdf,,1,0,0,1,,,1,1,,1,2,0
DSDP 42-374,DSDP,42,374,*,Mediterranean Sea - Eastern Basin,18.1963,35.8478,"May 1, 1975","May 4, 1975",4078,32,457,153.5,N/A,49.64820847,late Miocene,halite,457,,,http://www.deepseadrilling.org/42_1/volume/dsdp42pt1_01.pdf,,1,0,0,1,,,1,1,,1,2,0
DSDP 42-377,DSDP,42,377,*,Mediterranean Sea - Eastern Basin,21.431,35.1617,"May 15, 1975","May 16, 1975",3718,7,263,10,N/A,57,middle Miocene,mudstone,263,,,http://www.deepseadrilling.org/42_1/volume/dsdp42pt1_01.pdf,,1,0,0,1,,,1,1,,1,2,0
DSDP 47-397,DSDP,47,397,*,North Atlantic Ocean,-15.18,26.845,"Mar 21, 1976","Mar 29, 1976",2900,104,1000,981,N/A,59.83486239,Early Miocene,pebbly muddy sandstone,1000,,,http://www.deepseadrilling.org/47_1/volume/dsdp47pt1_02.pdf,49,1,0,1,1,,,1,1,,1,2,0
DSDP 50-416,DSDP,50,416,*,North Atlantic Ocean,-10.801,32.8363,"Sep 29, 1976","Sep 30, 1976",4191,3,116,11.5,N/A,10.86956522,late Pliocene,foraminifer-nannofossil marl and ooze,20,,,http://www.deepseadrilling.org/50/volume/dsdp50_04.pdf,51,1,0,1,1,,,1,1,,1,3,0
DSDP 77-536,DSDP,77,536,*,Gulf of Mexico,-85.2097,23.4898,"Jan 9, 1981","Jan 11, 1981",2790,23,213,213,N/A,30.6713615,unknown,dolomite,213,,,http://www.deepseadrilling.org/77/volume/dsdp77_03.pdf,,1,0,0,1,,,1,1,,1,3,0
DSDP 95-613,DSDP,95,613,*,North Atlantic Ocean,-72.5238,38.771,"Sep 17, 1983","Sep 22, 1983",2309,52,581.9,455.3,N/A,82.45552383,early Eocene,Nannofossil porcellanite and porcellaneous limestone,581.9,,,http://www.deepseadrilling.org/95/volume/dsdp95_04.pdf,"17, 18, 19",1,0,1,1,,,1,1,,1,2,0
